INCIDENT_NUMBER,DATE_OCCURED,UOR_DESC,PREMISE_TYPE,OFFICER_ATTACKED
80-20-037696,6/26/2020,ASSAULT - 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-037701,6/26/2020,WANTON ENDANGERMENT-2ND DEGREE,RESIDENCE / HOME,0
80-20-037721,6/26/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-037731,6/25/2020,VIOLATION OF KENTUCKY EPO/DVO,OTHER / UNKNOWN,0
80-20-037745,6/26/2020,TERRORISTIC THREATENING 3RD DEGREE,PARKING LOT / GARAGE,0
80-20-037747,6/26/2020,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-037748,6/26/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),HIGHWAY / ROAD / ALLEY,0
80-20-037754,6/26/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,HIGHWAY / ROAD / ALLEY,0
80-20-037770,6/26/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-037771,6/26/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-037773,5/1/2020,HARASSMENT (NO PHYSICAL CONTACT),RESIDENCE / HOME,0
80-20-037775,6/26/2020,ASSAULT - 1ST DEGREE,PARKING LOT / GARAGE,0
80-20-037786,6/26/2020,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-20-037804,6/13/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-037809,6/26/2020,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-037811,6/26/2020,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,HIGHWAY / ROAD / ALLEY,1
80-20-037816,6/26/2020,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-037819,6/26/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-037821,6/26/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-037827,6/26/2020,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),CHURCH / SYNAGOGUE / TEMPLE,0
80-20-037828,6/19/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,SERVICE / GAS STATION,0
80-20-037829,6/26/2020,"ASSAULT, 4TH DEGREE DATING VIOLENCE (MINOR INJURY)",RESIDENCE / HOME,0
80-20-037831,6/26/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-037832,6/26/2020,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),HIGHWAY / ROAD / ALLEY,0
80-20-037837,6/27/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-037838,6/27/2020,ASSAULT - 1ST DEGREE,RESIDENCE / HOME,0
80-20-037841,6/27/2020,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,RESIDENCE / HOME,0
80-20-037842,6/27/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,1
80-20-037843,6/27/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,HIGHWAY / ROAD / ALLEY,0
80-20-037847,6/27/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-037849,6/27/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-037854,6/27/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-037865,6/27/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-037873,6/27/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-037874,6/27/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-037879,6/27/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-037904,6/27/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-037910,6/27/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,DEPARTMENT / DISCOUNT STORE,0
80-20-037912,6/27/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-037916,6/27/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,HIGHWAY / ROAD / ALLEY,0
80-20-037917,6/26/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-037920,6/27/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),HIGHWAY / ROAD / ALLEY,0
80-20-037923,6/27/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-037928,6/27/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-037939,6/27/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-037948,6/27/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESTAURANT,0
80-20-037965,6/27/2020,ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE,HIGHWAY / ROAD / ALLEY,0
80-20-037976,6/27/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-037984,6/27/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-037986,6/27/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-037987,6/27/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-037990,6/27/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-037992,6/27/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-037993,6/27/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038000,6/27/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-038013,6/27/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038014,6/27/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),PARKING LOT / GARAGE,0
80-20-038020,6/27/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-038026,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-038031,6/28/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-038032,6/28/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-038035,6/28/2020,WANTON ENDANGERMENT-2ND DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038038,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-038039,6/28/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038042,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038045,6/27/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038050,6/28/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038057,6/27/2020,ASSAULT - 1ST DEGREE,PARK / PLAYGROUND,0
80-20-038059,6/28/2020,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-20-038071,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-038087,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER / UNKNOWN,0
80-20-038089,6/27/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-038096,6/28/2020,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-038100,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038102,6/28/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038114,6/28/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038116,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038122,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038130,6/27/2020,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-20-038134,6/28/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-038136,6/28/2020,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-038137,6/28/2020,WANTON ENDANGERMENT-1ST DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038140,6/28/2020,STRANGULATION 1ST DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038149,6/28/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-038151,6/27/2020,STRANGULATION 1ST DEGREE,PARKING LOT / GARAGE,0
80-20-038156,6/28/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038161,6/28/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),HIGHWAY / ROAD / ALLEY,0
80-20-038165,6/26/2020,TERRORISTIC THREATENING 3RD DEGREE,OTHER / UNKNOWN,0
80-20-038169,6/28/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),PARKING LOT / GARAGE,0
80-20-038174,6/28/2020,VIOLATION OF FOREIGN EPO/DVO,HIGHWAY / ROAD / ALLEY,0
80-20-038175,6/28/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,PARKING LOT / GARAGE,0
80-20-038184,6/28/2020,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-20-038192,6/28/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),LIQUOR STORE,0
80-20-038196,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038201,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RENTAL / STORAGE FACILITY,0
80-20-038203,6/28/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038204,6/29/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-038206,6/28/2020,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-038207,6/28/2020,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-20-038219,6/28/2020,HARASSMENT (NO PHYSICAL CONTACT),RESIDENCE / HOME,0
80-20-038222,6/28/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038224,6/27/2020,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-20-038226,6/28/2020,ASSAULT - 2ND DEGREE,PARKING LOT / GARAGE,0
80-20-038228,6/29/2020,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-20-038229,6/29/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-038232,6/29/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-038233,6/29/2020,ENDANGERING THE WELFARE OF A MINOR,HIGHWAY / ROAD / ALLEY,0
80-20-038242,6/29/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038243,6/29/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038245,6/29/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038247,6/29/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-038248,6/29/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038271,6/29/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-038290,6/29/2020,TERRORISTIC THREATENING 3RD DEGREE,RESTAURANT,0
80-20-038293,6/28/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038308,6/29/2020,WANTON ENDANGERMENT-1ST DEGREE,PARKING LOT / GARAGE,0
80-20-038315,6/29/2020,TERRORISTIC THREATENING 3RD DEGREE,HOTEL / MOTEL / ETC.,0
80-20-038317,6/29/2020,TERRORISTIC THREATENING 3RD DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038335,6/29/2020,ASSAULT - 4TH DEGREE (CHILD ABUSE),RESIDENCE / HOME,0
80-20-038340,6/29/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-038341,6/25/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-038343,6/28/2020,HARASSMENT (NO PHYSICAL CONTACT),SERVICE / GAS STATION,0
80-20-038349,6/29/2020,ASSAULT - 2ND DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-038350,6/29/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,"SPECIALTY STORE (TV, FUR, ETC)",0
80-20-038354,6/29/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038355,6/29/2020,TERRORISTIC THREATENING 3RD DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038360,6/29/2020,MENACING,RESIDENCE / HOME,0
80-20-038362,6/29/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038365,6/29/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),PARKING LOT / GARAGE,0
80-20-038372,6/29/2020,ASSAULT - 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-038376,6/29/2020,ASSAULT - 1ST DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038379,6/29/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),SERVICE / GAS STATION,0
80-20-038382,6/29/2020,WANTON ENDANGERMENT-1ST DEGREE,OTHER / UNKNOWN,0
80-20-038386,6/29/2020,ENDANGERING THE WELFARE OF A MINOR,RESIDENCE / HOME,0
80-20-038387,6/29/2020,VIOLATION OF KENTUCKY EPO/DVO,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038391,6/29/2020,STRANGULATION 1ST DEGREE,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038411,6/29/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-038422,6/27/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038424,6/29/2020,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-20-038430,6/29/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),LIQUOR STORE,0
80-20-038435,6/28/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-038441,6/29/2020,OBSTRUCTING GOVERNMENTAL OPERATIONS,PARK / PLAYGROUND,1
80-20-038445,6/30/2020,OBSTRUCTING GOVERNMENTAL OPERATIONS,HIGHWAY / ROAD / ALLEY,1
80-20-038447,6/29/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038452,6/30/2020,ASSAULT - 1ST DEGREE,PARK / PLAYGROUND,0
80-20-038454,6/30/2020,WANTON ENDANGERMENT-2ND DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-038456,6/30/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038459,6/30/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),HIGHWAY / ROAD / ALLEY,0
80-20-038463,6/30/2020,ASSAULT - 1ST DEGREE,RESIDENCE / HOME,0
80-20-038467,6/30/2020,ASSAULT - 2ND DEGREE,RESIDENCE / HOME,0
80-20-038468,6/30/2020,TERRORISTIC THREATENING 3RD DEGREE,CYBERSPACE,0
80-20-038469,6/30/2020,TERRORISTIC THREATENING 3RD DEGREE,SERVICE / GAS STATION,0
80-20-038480,6/30/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-038485,6/30/2020,INTIMIDATING A PARTICIPANT IN LEGAL PROCESS,RESIDENCE / HOME,0
80-20-038506,6/21/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-038515,6/26/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038516,6/29/2020,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-20-038527,6/30/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038530,6/30/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,HIGHWAY / ROAD / ALLEY,0
80-20-038535,6/30/2020,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-038540,6/30/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-038541,6/29/2020,MENACING,RESIDENCE / HOME,0
80-20-038553,6/30/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038568,6/30/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038572,7/1/2020,HARASSMENT (NO PHYSICAL CONTACT),OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038587,6/30/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038599,6/30/2020,ASSAULT - 1ST DEGREE,RESIDENCE / HOME,0
80-20-038602,6/30/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-038605,6/30/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038606,6/30/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-038608,6/30/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-038611,6/30/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-038624,6/30/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038630,6/30/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038632,6/25/2020,TERRORISTIC THREATENING 3RD DEGREE,RESTAURANT,0
80-20-038634,5/20/2020,TERRORISTIC THREATENING 3RD DEGREE,DOCK/WHARF/FREIGHT/MODAL TERMINAL,0
80-20-038636,6/30/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038640,6/30/2020,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),HIGHWAY / ROAD / ALLEY,0
80-20-038644,6/30/2020,WANTON ENDANGERMENT-1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-038645,6/30/2020,TERRORISTIC THREATENING 3RD DEGREE,CYBERSPACE,0
80-20-038653,6/30/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-038654,6/30/2020,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),PARKING LOT / GARAGE,0
80-20-038656,6/30/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-038664,6/30/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,BAR / NIGHT CLUB,0
80-20-038675,6/30/2020,ASSAULT - 1ST DEGREE - DOMESTIC VIOLENCE,RESIDENCE / HOME,0
80-20-038699,7/1/2020,ASSAULT - 1ST DEGREE,PARKING LOT / GARAGE,0
80-20-038715,6/30/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RENTAL / STORAGE FACILITY,0
80-20-038718,7/1/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038719,7/1/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038721,7/1/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038722,7/1/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038725,7/1/2020,HARASSMENT (NO PHYSICAL CONTACT),HIGHWAY / ROAD / ALLEY,0
80-20-038743,7/1/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-038749,7/1/2020,MENACING,RESIDENCE / HOME,0
80-20-038751,7/1/2020,UNLAWFUL IMPRISONMENT-2ND DEGREE,RESIDENCE / HOME,0
80-20-038768,7/1/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038771,7/1/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038773,7/1/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038777,7/1/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038791,7/1/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038792,7/1/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038798,6/30/2020,MENACING,HOTEL / MOTEL / ETC.,1
80-20-038801,7/1/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038803,7/1/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-038807,6/30/2020,WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER,HIGHWAY / ROAD / ALLEY,1
80-20-038838,7/1/2020,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-20-038843,7/1/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038848,6/24/2020,STRANGULATION 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-038862,7/1/2020,TERRORISTIC THREATENING 3RD DEGREE,RESIDENCE / HOME,0
80-20-038869,7/1/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-038870,7/1/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-038880,7/1/2020,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-20-038886,7/1/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038887,7/1/2020,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),RESIDENCE / HOME,0
80-20-038888,7/1/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038890,6/26/2020,STRANGULATION 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-038893,7/1/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-038894,7/1/2020,ASSAULT - 4TH DEGREE (NO VISIBLE INJURY),BAR / NIGHT CLUB,0
80-20-038897,7/1/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY,RESIDENCE / HOME,0
80-20-038898,7/1/2020,WANTON ENDANGERMENT-1ST DEGREE,SERVICE / GAS STATION,0
80-20-038903,7/1/2020,ASSAULT - 2ND DEGREE,RESIDENCE / HOME,0
80-20-038904,7/1/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-038907,7/2/2020,WANTON ENDANGERMENT-1ST DEGREE,RESIDENCE / HOME,0
80-20-038913,7/2/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038914,7/2/2020,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-20-038921,7/2/2020,MENACING,RESIDENCE / HOME,0
80-20-038926,7/2/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038930,7/2/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
80-20-038937,7/2/2020,ASSAULT - 1ST DEGREE,RESIDENCE / HOME,0
80-20-038939,7/2/2020,STRANGULATION 1ST DEGREE,RESIDENCE / HOME,0
80-20-038944,7/2/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-038955,6/29/2020,MENACING,HIGHWAY / ROAD / ALLEY,1
80-20-038965,7/2/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,RESIDENCE / HOME,0
80-20-038979,7/2/2020,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,RESIDENCE / HOME,0
80-20-038980,7/2/2020,ASSAULT - 1ST DEGREE,HIGHWAY / ROAD / ALLEY,0
80-20-039000,7/2/2020,VIOLATION OF KENTUCKY EPO/DVO,RESIDENCE / HOME,0
80-20-039007,7/2/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-039010,2/9/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,CHURCH / SYNAGOGUE / TEMPLE,0
80-20-039011,7/2/2020,TERRORISTIC THREATENING 2ND DEGREE,DRUG STORE/DR`S OFFICE/HOSPITAL,0
80-20-039021,7/2/2020,ASSAULT - 4TH DEGREE (MINOR INJURY),RESIDENCE / HOME,0
80-20-039033,7/2/2020,ASSAULT - 2ND DEGREE,RESIDENCE / HOME,0
80-20-039038,7/2/2020,WANTON ENDANGERMENT-1ST DEGREE,CONVENIENCE STORE,0
80-20-039040,7/2/2020,HARASSMENT - PHYSICAL CONTACT - NO INJURY,OTHER RESIDENCE (APARTMENT/CONDO),0
