ID,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,UOR_DESC,LEOKA_APPLIES,OFFICER_KILLED,TYPE_OF_ASSIGNMENT,TYPE_OF_ACTIVITY,OFFENSE_CITY,OFFENSE_ZIP
4491,80-15-013524,2/23/2015 10:01,2/23/2015 10:01,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY,100 BLOCK DR W J HODGE ST                                   ,WANTON ENDANGERMENT-2ND DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40203
4492,80-15-014748,2/27/2015 18:10,2/27/2015 18:10,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,424,RACE TRACK/GAMBLING FACILITY,700 BLOCK CENTRAL AVE                                       ,MENACING,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ALONE,ALL OTHER,LOUISVILLE,40208
4493,80-15-015796,3/3/2015 14:10,3/3/2015 14:00,ASSAULT,13C,PART II,COMPLETED,7TH DIVISION,723,SCHOOL - ELEMENTARY / SECONDARY,6400 BLOCK OUTER LOOP                                       ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40228
4494,80-15-022595,3/29/2015 19:45,3/29/2015 19:38,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME,1300 BLOCK S 28TH ST                                        ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40211
4495,80-15-036151,5/14/2015 13:26,5/14/2015 13:26,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,436,HIGHWAY / ROAD / ALLEY,4600 BLOCK S 3RD ST                                         ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40214
4496,80-15-037651,5/19/2015 9:54,5/19/2015 9:54,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY,3600 BLOCK POWELL AVE                                       ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40215
4497,80-15-042578,6/4/2015 20:13,6/4/2015 20:13,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY,1400 BLOCK LONGFIELD AVE                                    ,"ASSAULT 3RD DEGREE (EMS,FIRE, RESCUE SQUAD)",YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40215
4498,80-15-042578,6/4/2015 20:13,6/4/2015 20:13,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY,1400 BLOCK LONGFIELD AVE                                    ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40215
4499,80-15-042578,6/4/2015 20:13,6/4/2015 20:13,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY,1400 BLOCK LONGFIELD AVE                                    ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40215
4500,80-15-044212,6/10/2015 11:02,6/10/2015 10:45,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,315,SCHOOL - ELEMENTARY / SECONDARY,10200 BLOCK DIXIE HWY                                       ,TERRORISTIC THREATENING 2ND DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40272
4501,80-15-044212,6/10/2015 11:02,6/10/2015 10:45,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,315,SCHOOL - ELEMENTARY / SECONDARY,10200 BLOCK DIXIE HWY                                       ,TERRORISTIC THREATENING 2ND DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40272
4502,80-15-050787,6/5/2015 13:06,6/5/2015 23:45,ASSAULT,13C,PART II,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY,1069 BARDSTOWN RD                                           ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,,
4503,80-15-047998,6/22/2015 20:46,6/22/2015 20:46,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,625,HIGHWAY / ROAD / ALLEY,2300 BLOCK GOLDSMITH LN                                     ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40218
4504,80-15-049856,6/29/2015 17:10,6/29/2015 12:02,ASSAULT,13C,PART II,COMPLETED,7TH DIVISION,736,PARKING LOT / GARAGE,9500 BLOCK PRESTON HWY                                      ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40229
4505,80-15-050351,6/30/2015 22:25,6/30/2015 22:15,ASSAULT,13C,PART II,COMPLETED,7TH DIVISION,736,OTHER RESIDENCE (APARTMENT/CONDO),4100 BLOCK FOREMAN LN                                       ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40219
4506,80-15-055505,7/18/2015 11:25,7/18/2015 11:20,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,112,OTHER RESIDENCE (APARTMENT/CONDO),1600 BLOCK PLYMOUTH CT                                      ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40203
4507,80-15-053557,7/11/2015 18:55,7/11/2015 18:55,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,PRESTON DR / PRESTON HWY                                    ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40213
4508,80-15-055895,7/19/2015 19:00,7/19/2015 18:45,ASSAULT,13A,PART I,COMPLETED,6TH DIVISION,625,HIGHWAY / ROAD / ALLEY,2700 BLOCK HIKES LN                                         ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40218
4509,80-15-055895,7/19/2015 19:00,7/19/2015 18:45,ASSAULT,13A,PART I,COMPLETED,6TH DIVISION,625,HIGHWAY / ROAD / ALLEY,2700 BLOCK HIKES LN                                         ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40218
4510,80-15-055895,7/19/2015 19:00,7/19/2015 18:45,ASSAULT,13A,PART I,COMPLETED,6TH DIVISION,625,HIGHWAY / ROAD / ALLEY,2700 BLOCK HIKES LN                                         ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40218
4511,80-15-059050,7/29/2015 22:46,7/29/2015 22:40,ASSAULT,13C,PART II,COMPLETED,7TH DIVISION,736,SERVICE / GAS STATION,9200 BLOCK PRESTON HWY                                      ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40229
4512,80-15-068484,8/28/2015 20:42,8/28/2015 20:40,ASSAULT,13B,PART II,COMPLETED,6TH DIVISION,611,HIGHWAY / ROAD / ALLEY,3400 BLOCK DAY SPRING CT                                    ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40213
4513,80-15-073185,9/13/2015 16:18,9/13/2015 16:18,ASSAULT,13C,PART II,COMPLETED,5TH DIVISION,521,HIGHWAY / ROAD / ALLEY,2500 BLOCK RIVER BEND DR                                    ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40206
4514,80-15-074000,9/14/2015 19:32,9/14/2015 19:30,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,612,DEPARTMENT / DISCOUNT STORE,5700 BLOCK PRESTON HWY                                      ,MENACING,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40219
4515,80-15-087974,10/29/2015 19:10,10/29/2015 17:45,ASSAULT,13A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY,DIXIE HWY / HALE AVE                                        ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40210
4516,80-15-096716,11/28/2015 3:42,11/28/2015 3:42,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY,1700 BLOCK ROWAN ST                                         ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40203
4517,80-15-094759,11/21/2015 2:30,11/21/2015 2:30,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY,BLAND ST / E HILL ST                                        ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40217
4518,80-15-095682,11/23/2015 22:06,11/23/2015 22:06,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY,1600 BLOCK S SHELBY ST                                      ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40217
4519,80-15-096165,11/25/2015 18:46,11/25/2015 18:46,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY,1200 BLOCK S 17TH ST                                        ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40210
4520,80-15-105418,12/27/2015 2:30,12/27/2015 1:45,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,GARDINER LN / POPLAR LEVEL RD                               ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40213
4521,80-15-099913,12/8/2015 22:20,12/8/2015 22:20,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,JAIL / PENITENTARY,400 BLOCK S 6TH ST                                          ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40202
4522,80-15-101848,12/14/2015 23:46,12/14/2015 23:46,ASSAULT,13C,PART II,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY,8400 BLOCK DIXIE HWY                                        ,WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ALONE,INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40258
4523,80-16-000827,1/1/2016 1:20,1/1/2016 1:05,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,JAIL / PENITENTARY,400 BLOCK S 6TH ST                                          ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40202
4524,80-16-000827,1/1/2016 1:20,1/1/2016 1:05,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,JAIL / PENITENTARY,400 BLOCK S 6TH ST                                          ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),"HANDLING, TRANSPORTING, CUSTODY OF PRISONERS",LOUISVILLE,40202
4525,80-16-000855,1/1/2016 4:16,1/1/2016 3:06,ASSAULT,13B,PART II,COMPLETED,5TH DIVISION,512,BAR / NIGHT CLUB,1100 BLOCK BARDSTOWN RD                                     ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED,ALL OTHER,LOUISVILLE,40204
4526,80-16-002267,1/6/2016 14:16,12/24/2015 16:39,ASSAULT,13C,PART II,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME,5100 BLOCK RED OAK LN                                       ,MENACING,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40218
4527,80-16-005775,1/17/2016 17:08,1/17/2016 16:56,ASSAULT,13A,PART I,COMPLETED,6TH DIVISION,625,HIGHWAY / ROAD / ALLEY,4000 BLOCK LANDSIDE DR                                      ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40220
4528,80-16-006876,1/21/2016 22:27,1/21/2016 22:27,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY,S FLOYD ST / E OAK ST                                       ,WANTON ENDANGERMENT-2ND DEGREE-POLICE OFFICER,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40203
4529,80-16-011680,2/8/2016 9:48,2/8/2016 9:48,ASSAULT,13B,PART II,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY,3500 BLOCK PRESTWOOD DR                                     ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,"OTHER ASSISTED (FOOT, OFF DUTY, ETC)",RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40219
4530,80-15-064634,8/16/2015 20:39,8/16/2015 20:39,ASSAULT,13B,PART II,COMPLETED,8TH DIVISION,811,PARKING LOT / GARAGE,4700 BLOCK CHAMBERLAIN LN                                   ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40241
4531,80-15-077020,9/25/2015 19:50,9/25/2015 19:50,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY,LONGFIELD AVE / TAYLOR BLVD                                 ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40215
4532,80-16-015952,2/23/2016 22:26,2/23/2016 20:59,ASSAULT,13A,PART I,COMPLETED,2ND DIVISION,211,PARK / PLAYGROUND,4500 BLOCK W BROADWAY                                       ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40211
4533,80-16-009629,2/1/2016 11:43,2/1/2016 11:40,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,123,GOVERNMENT / PUBLIC BUILDING,600 BLOCK S 6TH ST                                          ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40202
4534,80-16-019754,3/7/2016 8:33,3/7/2016 8:33,ASSAULT,13C,PART II,COMPLETED,4TH DIVISION,411,RESIDENCE / HOME,1400 BLOCK ST JAMES CT                                      ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40208
4535,80-16-026349,3/29/2016 18:21,3/29/2016 18:21,ASSAULT,13A,PART I,COMPLETED,3RD DIVISION,323,HIGHWAY / ROAD / ALLEY,8600 BLOCK NATIONAL TPKE                                    ,MURDER - POLICE OFFICER ATTEMPTED,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40118
4536,80-16-033593,4/21/2016 22:00,4/21/2016 21:30,ASSAULT,13A,PART I,COMPLETED,1ST DIVISION,134,PARKING LOT / GARAGE,100 BLOCK E MARKET ST                                       ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40202
4537,80-16-033593,4/21/2016 22:00,4/21/2016 21:30,ASSAULT,13A,PART I,COMPLETED,1ST DIVISION,134,PARKING LOT / GARAGE,100 BLOCK E MARKET ST                                       ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40202
4538,80-16-040833,5/13/2016 22:57,5/13/2016 22:57,ASSAULT,13B,PART II,COMPLETED,7TH DIVISION,735,PARKING LOT / GARAGE,4800 BLOCK OUTER LOOP                                       ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40219
4539,80-16-042640,5/19/2016 11:35,5/19/2016 11:35,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME,2300 BLOCK DUNCAN ST                                        ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE,LOUISVILLE,40212
4540,80-16-039207,5/7/2016 2:11,5/7/2016 2:11,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,S 4TH ST / W LIBERTY ST                                     ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40202
4541,80-16-051934,6/19/2016 8:03,6/19/2016 8:03,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,424,AMUSEMENT PARK,900 BLOCK PHILLIPS LN                                       ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40209
4542,80-16-051934,6/19/2016 8:03,6/19/2016 8:03,ASSAULT,13B,PART II,COMPLETED,4TH DIVISION,424,AMUSEMENT PARK,900 BLOCK PHILLIPS LN                                       ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40209
4543,80-16-044549,5/26/2016 0:54,5/26/2016 0:50,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,112,CONVENIENCE STORE,2600 BLOCK W BROADWAY                                       ,TERRORISTIC THREATENING 3RD DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40211
4544,80-16-057346,7/6/2016 19:20,7/6/2016 18:33,ASSAULT,13C,PART II,COMPLETED,1ST DIVISION,134,PARK / PLAYGROUND,200 BLOCK E WITHERSPOON ST                                  ,MENACING,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40202
4545,80-16-069714,8/15/2016 17:11,8/15/2016 17:11,ASSAULT,13B,PART II,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY,S 9TH ST / W HILL ST                                        ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ATTEMPTING OTHER ARREST,LOUISVILLE,40208
4546,80-16-092474,10/26/2016 6:58,10/26/2016 6:58,ASSAULT,13C,PART II,COMPLETED,2ND DIVISION,236,HIGHWAY / ROAD / ALLEY,4300 BLOCK CANE RUN RD                                      ,MENACING,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40216
4547,80-16-075804,9/23/2016 8:47,9/8/2016 12:41,ASSAULT,13A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY,S 10TH ST / W MUHAMMAD ALI BLVD                             ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,LOUISVILLE,40203
4548,80-16-084979,10/4/2016 5:27,10/4/2016 5:27,ASSAULT,13B,PART II,COMPLETED,1ST DIVISION,123,PARKING LOT / GARAGE,700 BLOCK MAGAZINE ST                                       ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,"OTHER ASSISTED (FOOT, OFF DUTY, ETC)",ALL OTHER,LOUISVILLE,40203
4549,80-16-086099,10/7/2016 18:34,10/7/2016 18:34,ASSAULT,13A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY,S 5TH ST / BEECHER ST                                       ,DISARMING A PEACE OFFICER,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED,ATTEMPTING OTHER ARREST,LOUISVILLE,40214
4550,80-16-088794,10/16/2016 22:08,10/16/2016 22:08,ASSAULT,13A,PART I,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY,S 16TH ST / ALGONQUIN PKY                                   ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40210
4551,80-16-089187,10/18/2016 1:55,10/18/2016 1:55,ASSAULT,13A,PART I,COMPLETED,8TH DIVISION,812,HIGHWAY / ROAD / ALLEY,BAYBERRY PL / HERMITAGE WAY                                 ,WANTON ENDANGERMENT-1ST DEGREE,YES,NO,ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,PLANTATION,40242
4552,80-16-089698,10/19/2016 14:20,10/19/2016 14:00,ASSAULT,13A,PART I,COMPLETED,2ND DIVISION,234,HIGHWAY / ROAD / ALLEY,S 28TH ST / W HILL ST                                       ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ALONE,ATTEMPTING OTHER ARREST,LOUISVILLE,40211
4553,80-16-089698,10/19/2016 14:20,10/19/2016 14:00,ASSAULT,13A,PART I,COMPLETED,2ND DIVISION,234,HIGHWAY / ROAD / ALLEY,S 28TH ST / W HILL ST                                       ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ALONE,ALL OTHER,LOUISVILLE,40211
4554,80-16-089698,10/19/2016 14:20,10/19/2016 14:00,ASSAULT,13A,PART I,COMPLETED,2ND DIVISION,234,HIGHWAY / ROAD / ALLEY,S 28TH ST / W HILL ST                                       ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,DETECTIVE OR SPECIAL ASSIGNMENT ALONE,ALL OTHER,LOUISVILLE,40211
4555,80-16-092658,10/28/2016 22:30,10/28/2016 22:17,ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,334,PARKING LOT / GARAGE,POND STATION RD / STONESTREET RD                            ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40272
4556,80-16-092658,10/28/2016 22:30,10/28/2016 22:17,ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,334,PARKING LOT / GARAGE,POND STATION RD / STONESTREET RD                            ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),RESPONDING TO DISTURBANCE CALLS,LOUISVILLE,40272
4557,80-16-098358,11/17/2016 0:32,11/17/2016 0:15,ASSAULT,13A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY,3700 BLOCK WOODRUFF AVE                                     ,WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),ALL OTHER,LOUISVILLE,40215
4558,80-16-104705,12/8/2016 11:40,12/8/2016 11:40,ASSAULT,13B,PART II,COMPLETED,METRO LOUISVILLE,SHV,HIGHWAY / ROAD / ALLEY,DIXIE HWY / MATHEIS LN                                      ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,SHIVELY,40216
4559,80-16-104705,12/8/2016 11:40,12/8/2016 11:40,ASSAULT,13A,PART I,COMPLETED,METRO LOUISVILLE,SHV,HIGHWAY / ROAD / ALLEY,DIXIE HWY / MATHEIS LN                                      ,ASSAULT - 2ND DEGREE - POLICE OFFICER,YES,NO,TWO-MAN VEHICLE (UNIFORMED OFFICER),TRAFFIC PURSUIT OR STOPS,SHIVELY,40216
4560,80-16-110699,12/29/2016 4:02,12/29/2016 3:30,ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME,13300 BLOCK HORNCASTLE WAY                                  ,ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40272
4561,80-16-110699,12/29/2016 4:02,12/29/2016 3:30,ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME,13300 BLOCK HORNCASTLE WAY                                  ,ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY,YES,NO,ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER),DOMESTIC DISTURBANCE,LOUISVILLE,40272
